TrialIndex,nBack,stimType,fixT,stimT,stimPic,mwType,Ans
1,0,NT,     1.450,     1.050,Stimuli\0B_N_square_circle.png,NT,None
2,0,NT,     1.300,     0.800,Stimuli\0B_N_square_triangle.png,NT,None
3,0,TT,     1.350,     2.500,Stimuli\0B_G_R_circle_triangle.png,TT,right
4,0,NT,     1.300,     0.900,Stimuli\0B_N_square_triangle.png,NT,None
5,0,NT,     1.450,     1.050,Stimuli\0B_N_triangle_circle.png,NT,None
6,0,NT,     1.350,     1.050,Stimuli\0B_N_circle_triangle.png,NT,None
7,0,NT,     1.650,     0.900,Stimuli\0B_N_square_triangle.png,NT,None
8,0,TT,     1.300,     2.150,Stimuli\0B_G_R_triangle_square.png,TT,right
9,0,NT,     1.500,     0.800,Stimuli\0B_N_square_circle.png,NT,None
10,0,NT,     1.600,     0.950,Stimuli\0B_N_triangle_square.png,NT,None
11,0,NT,     1.500,     1.000,Stimuli\0B_N_circle_square.png,NT,None
12,0,NT,     1.550,     1.000,Stimuli\0B_N_circle_square.png,NT,None
13,0,MWQ,     1.600,     4.500,My thoughts were focused on the task I was performing,Focus,Not at all                            Completely
14,0,MWQ,     0.500,     4.500,My thoughts involved other people,Other,Not at all                            Completely
15,0,MWQ,     0.500,     4.500,This thought has recurrent themes similar to those I have had before,Habit,Not at all                            Completely
16,0,MWQ,     0.500,     4.500,My thoughts involved past events,Past,Not at all                            Completely
17,0,MWQ,     0.500,     4.500,My thoughts tended to evolve in a series of steps,Evolving,Not at all                            Completely
18,0,MWQ,     0.500,     4.500,The content of my thoughts was:,Emotion,Negative                            Positive
19,0,MWQ,     0.500,     4.500,My thoughts were in the form of words,Words,Not at all                            Completely
20,0,MWQ,     0.500,     4.500,My thoughts involved myself,Self,Not at all                            Completely
21,0,MWQ,     0.500,     4.500,My thoughts were vivid as if I was there,Vivid,Not at all                            Completely
22,0,MWQ,     0.500,     4.500,My thoughts involved future events,Future,Not at all                            Completely
23,0,MWQ,     0.500,     4.500,My thoughts were:,Deliberate,Spontaneous                            Deliberate
24,0,MWQ,     0.500,     4.500,My thoughts were in the form of images,Images,Not at all                            Completely
25,0,MWQ,     0.500,     4.500,My thoughts were detailed and specific,Detailed,Not at all                            Completely
26,0,NT,     1.300,     0.800,Stimuli\0B_N_triangle_square.png,NT,None
27,0,NT,     1.350,     1.100,Stimuli\0B_N_square_circle.png,NT,None
28,0,NT,     1.550,     1.200,Stimuli\0B_N_circle_square.png,NT,None
29,0,NT,     1.650,     0.800,Stimuli\0B_N_square_circle.png,NT,None
30,0,TT,     1.550,     2.150,Stimuli\0B_G_R_square_circle.png,TT,right
31,0,NT,     1.600,     1.050,Stimuli\0B_N_circle_square.png,NT,None
32,0,NT,     1.400,     0.900,Stimuli\0B_N_square_circle.png,NT,None
33,0,NT,     1.650,     1.200,Stimuli\0B_N_circle_triangle.png,NT,None
34,0,NT,     1.450,     0.850,Stimuli\0B_N_circle_triangle.png,NT,None
35,0,TT,     1.600,     2.400,Stimuli\0B_G_R_square_triangle.png,TT,right
36,0,NT,     1.700,     0.800,Stimuli\0B_N_circle_square.png,NT,None
37,0,NT,     1.350,     1.000,Stimuli\0B_N_circle_square.png,NT,None
38,0,NT,     1.450,     0.950,Stimuli\0B_N_square_circle.png,NT,None
39,0,Switch,     1.300,     1.950,Switch,NT,None
40,1,NT,     1.500,     1.000,Stimuli\nB_N_triangle_square.png,NT,None
41,1,NT,     1.700,     1.200,Stimuli\nB_N_square_triangle.png,NT,None
42,1,NT,     1.600,     1.100,Stimuli\nB_N_square_triangle.png,NT,None
43,1,TT,     1.600,     2.200,Stimuli\nB_G_SQUARE.png,TT,left
44,1,NT,     1.400,     1.050,Stimuli\nB_N_circle_square.png,NT,None
45,1,NT,     1.400,     1.100,Stimuli\nB_N_triangle_circle.png,NT,None
46,1,NT,     1.350,     1.000,Stimuli\nB_N_square_triangle.png,NT,None
47,1,NT,     1.400,     1.000,Stimuli\nB_N_circle_triangle.png,NT,None
48,1,TT,     1.550,     2.500,Stimuli\nB_G_TRIANGLE.png,TT,right
49,1,NT,     1.600,     0.900,Stimuli\nB_N_triangle_square.png,NT,None
50,1,NT,     1.400,     0.900,Stimuli\nB_N_circle_square.png,NT,None
51,1,NT,     1.550,     1.200,Stimuli\nB_N_square_triangle.png,NT,None
52,1,NT,     1.550,     1.200,Stimuli\nB_N_square_triangle.png,NT,None
53,1,TT,     1.650,     2.250,Stimuli\nB_G_TRIANGLE.png,TT,right
54,1,NT,     1.400,     0.800,Stimuli\nB_N_circle_triangle.png,NT,None
55,1,NT,     1.300,     0.950,Stimuli\nB_N_triangle_square.png,NT,None
56,1,TT,     1.350,     2.150,Stimuli\nB_G_SQUARE.png,TT,right
57,1,NT,     1.700,     1.050,Stimuli\nB_N_circle_square.png,NT,None
58,1,NT,     1.650,     0.850,Stimuli\nB_N_triangle_square.png,NT,None
59,1,NT,     1.450,     0.950,Stimuli\nB_N_triangle_square.png,NT,None
60,1,NT,     1.650,     1.000,Stimuli\nB_N_square_circle.png,NT,None
61,1,TT,     1.650,     2.450,Stimuli\nB_G_SQUARE.png,TT,left
62,1,NT,     1.550,     0.850,Stimuli\nB_N_circle_square.png,NT,None
63,1,NT,     1.550,     0.800,Stimuli\nB_N_circle_square.png,NT,None
64,1,Switch,     1.300,     1.800,Switch,NT,None
65,0,NT,     1.500,     0.900,Stimuli\0B_N_circle_square.png,NT,None
66,0,NT,     1.550,     0.900,Stimuli\0B_N_square_triangle.png,NT,None
67,0,NT,     1.300,     0.850,Stimuli\0B_N_circle_triangle.png,NT,None
68,0,NT,     1.450,     0.900,Stimuli\0B_N_triangle_square.png,NT,None
69,0,TT,     1.600,     2.150,Stimuli\0B_G_L_square_triangle.png,TT,left
70,0,NT,     1.400,     1.100,Stimuli\0B_N_triangle_circle.png,NT,None
71,0,NT,     1.700,     0.800,Stimuli\0B_N_triangle_circle.png,NT,None
72,0,NT,     1.600,     0.850,Stimuli\0B_N_circle_triangle.png,NT,None
73,0,TT,     1.500,     2.200,Stimuli\0B_G_L_circle_triangle.png,TT,left
74,0,NT,     1.550,     1.150,Stimuli\0B_N_triangle_square.png,NT,None
75,0,NT,     1.500,     1.000,Stimuli\0B_N_triangle_square.png,NT,None
76,0,NT,     1.400,     0.800,Stimuli\0B_N_square_circle.png,NT,None
77,0,NT,     1.450,     1.100,Stimuli\0B_N_circle_triangle.png,NT,None
78,0,TT,     1.300,     2.250,Stimuli\0B_G_R_triangle_square.png,TT,right
79,0,NT,     1.450,     0.900,Stimuli\0B_N_triangle_circle.png,NT,None
80,0,NT,     1.300,     1.050,Stimuli\0B_N_circle_square.png,NT,None
81,0,NT,     1.350,     0.800,Stimuli\0B_N_circle_square.png,NT,None
82,0,TT,     1.350,     2.150,Stimuli\0B_G_R_circle_triangle.png,TT,right
83,0,NT,     1.400,     1.150,Stimuli\0B_N_square_circle.png,NT,None
84,0,NT,     1.400,     1.100,Stimuli\0B_N_square_triangle.png,NT,None
85,0,NT,     1.350,     1.050,Stimuli\0B_N_circle_triangle.png,NT,None
86,0,NT,     1.400,     0.950,Stimuli\0B_N_circle_square.png,NT,None
87,0,TT,     1.650,     2.450,Stimuli\0B_G_L_circle_triangle.png,TT,left
88,0,NT,     1.550,     0.950,Stimuli\0B_N_triangle_square.png,NT,None
89,0,NT,     1.650,     1.050,Stimuli\0B_N_square_triangle.png,NT,None
90,0,NT,     1.400,     1.100,Stimuli\0B_N_circle_square.png,NT,None
91,0,Switch,     1.500,     1.850,Switch,NT,None
92,1,NT,     1.500,     0.800,Stimuli\nB_N_square_triangle.png,NT,None
93,1,NT,     1.650,     0.950,Stimuli\nB_N_triangle_circle.png,NT,None
94,1,TT,     1.650,     2.500,Stimuli\nB_G_CIRCLE.png,TT,right
95,1,NT,     1.700,     0.950,Stimuli\nB_N_triangle_square.png,NT,None
96,1,NT,     1.600,     0.950,Stimuli\nB_N_circle_square.png,NT,None
97,1,NT,     1.300,     1.200,Stimuli\nB_N_square_circle.png,NT,None
98,1,TT,     1.550,     2.350,Stimuli\nB_G_SQUARE.png,TT,left
99,1,NT,     1.450,     0.900,Stimuli\nB_N_square_circle.png,NT,None
100,1,NT,     1.550,     1.000,Stimuli\nB_N_square_triangle.png,NT,None
101,1,TT,     1.650,     2.500,Stimuli\nB_G_SQUARE.png,TT,left
102,1,NT,     1.650,     1.200,Stimuli\nB_N_square_circle.png,NT,None
103,1,NT,     1.400,     0.950,Stimuli\nB_N_square_triangle.png,NT,None
104,1,NT,     1.700,     1.050,Stimuli\nB_N_circle_triangle.png,NT,None
105,1,NT,     1.600,     0.950,Stimuli\nB_N_circle_square.png,NT,None
106,1,TT,     1.300,     2.250,Stimuli\nB_G_SQUARE.png,TT,right
107,1,NT,     1.400,     1.050,Stimuli\nB_N_square_circle.png,NT,None
